Employee_ID,Department,Age,Salary,Projects_Completed,Working_Hours,Performance_Score,Promotion_Status
1,Sales,42,71412,6,48,48,Yes
2,Marketing,23,68876,11,54,44,No
3,IT,59,119547,1,45,56,No
4,Marketing,57,98664,10,40,88,No
5,Marketing,58,75227,11,39,73,No
6,Finance,36,57450,17,37,41,Yes
7,IT,49,109433,8,30,92,Yes
8,IT,39,98704,13,39,94,No
9,IT,55,31861,18,59,46,No
10,Marketing,43,86914,16,47,75,No
11,Sales,32,88888,2,32,52,No
12,IT,34,104286,5,59,59,No
13,Marketing,25,86293,18,40,69,No
14,Finance,43,107524,3,47,69,No
15,Sales,28,93515,17,32,50,No
16,Finance,45,48524,16,37,70,No
17,Sales,25,32065,6,56,97,Yes
18,Marketing,49,62684,19,56,42,No
19,HR,36,113720,7,57,98,No
20,Sales,22,58365,18,43,41,Yes
21,Finance,24,83876,14,35,87,No
22,Marketing,35,48704,6,44,42,No
23,Sales,59,82857,8,43,95,No
24,HR,22,30622,15,36,54,Yes
25,HR,59,108797,15,39,56,No
26,IT,59,118955,15,44,87,Yes
27,IT,42,116141,16,58,91,No
28,Finance,50,119707,1,39,46,Yes
29,Sales,26,112700,11,51,87,No
30,Sales,31,104332,5,46,44,No
31,IT,49,91201,5,56,73,No
32,Sales,42,57694,6,48,72,No
33,Sales,28,114766,2,58,93,No
34,HR,24,47995,6,46,84,Yes
35,IT,41,117320,14,41,55,Yes
36,Marketing,40,105141,11,44,76,Yes
37,IT,56,107999,4,55,42,Yes
38,Marketing,25,33419,9,41,98,No
39,HR,26,72952,3,54,98,No
40,Finance,22,58837,16,58,86,Yes
41,Sales,25,95799,11,38,87,No
42,HR,33,73877,4,34,82,No
43,Sales,48,70687,1,33,96,Yes
44,Finance,44,62276,16,41,90,No
45,Finance,46,59523,19,45,89,No
46,HR,42,91055,16,38,60,No
47,Finance,45,79615,11,54,80,No
48,Marketing,46,35514,8,32,47,No
49,Finance,53,72456,1,50,61,Yes
50,Sales,53,32233,9,32,90,No
51,Sales,26,26102,12,55,93,No
52,Sales,57,91133,8,47,44,No
53,Sales,37,71715,17,46,56,No
54,Marketing,54,110193,10,57,76,No
55,IT,42,31256,7,39,53,No
56,HR,30,89800,19,31,78,No
57,Sales,27,119937,6,53,80,No
58,Finance,56,66548,19,40,67,No
59,Sales,43,97090,18,53,70,No
60,Finance,26,103200,15,32,56,No
61,Finance,44,67367,2,52,74,No
62,Sales,38,114922,14,52,79,No
63,Marketing,33,95382,10,31,61,Yes
64,Finance,44,51205,16,38,84,Yes
65,Finance,37,50570,7,48,87,No
66,Sales,24,55255,8,31,92,No
67,Finance,51,46182,10,57,68,Yes
68,Finance,43,64373,15,48,49,No
69,Sales,30,68019,8,31,57,No
70,Sales,50,87619,13,44,74,Yes
71,HR,58,41043,12,53,83,Yes
72,Marketing,44,70532,8,50,55,No
73,Marketing,34,90936,15,32,89,Yes
74,Finance,53,44239,12,34,88,No
75,Marketing,44,35416,11,40,46,No
76,Finance,38,28412,19,56,69,No
77,HR,42,106976,14,53,58,No
78,Sales,23,49406,18,36,94,No
79,Sales,58,26875,13,35,99,No
80,Sales,27,62066,4,43,62,No
81,Marketing,39,30752,17,58,47,No
82,HR,51,111753,19,30,56,No
83,Marketing,43,103025,9,55,60,No
84,Marketing,54,26353,7,46,65,No
85,HR,51,51986,1,46,96,No
86,HR,38,111907,7,43,67,Yes
87,HR,53,39691,7,39,98,Yes
88,HR,35,94847,7,59,78,No
89,Sales,31,73075,8,37,72,No
90,IT,57,35794,16,37,79,No
91,IT,55,93470,3,43,58,No
92,HR,30,41406,13,36,68,Yes
93,IT,49,100930,10,35,59,No
